Branded|387
Maliss|243
Tearlaments|192
Rokket|187
Snake-Eye|179
Ryzeal|135
Yubel|99
Centur-Ion|97
Spright|95
Tenpai Dragon|70
Vanquish Soul|40
Runick|34
Fire King|23
Voiceless Voice|21
Rescue-ACE|10
Mannadium|10
Memento|9
Fiendsmith|8
Labrynth|8
Manadome|7
White Forest|7
Mitsurugi|7
Orcust|7
Blue-Eyes|6
Salamangreat|6
Swordsoul|6
Thunder Dragon|5
Lightsworn|5
Purrely|5
P.U.N.K.|5
Magician|4
Blackwing|4
Destruction Sword|4
Mathmech|4
Scareclaw|4
Ritual Beast|3
Dragunity|3
Adventurer Token|3
Dracoslayer|3
Dragonmaid|3
Mimighoul|3
Resonator|3
Horus|2
Fur Hire|2
Plunder Patroll|2
Madolche|2
Evil Eye|1
Crystal Beast|1
Naturia|1
Tenyi|1
Constellar|1
Phantom Knights|1
Superheavy|1
Shaddoll|1
Skull Servant|1
Therion|1
Sky Striker|1
Red-Eyes|1
Earthbound|1
Sacred Beast|1
Stardust|1
Invoked|1
Supreme King|1
Atlantean|1
Unchained|1
Gimmick Puppet|1
Primite|1
Melodious|1
Galaxy-Eyes|1
