Maliss|463
Ryzeal|201
Snake-Eye|153
Yubel|100
Branded|66
Centur-Ion|64
Tenpai Dragon|59
Blue-Eyes|42
Fire King|22
Fiendsmith|16
Mitsurugi|15
Rokket|14
Voiceless Voice|13
Memento|10
White Forest|7
Rescue-ACE|6
Spright|6
Labrynth|6
Lightsworn|5
Runick|4
Salamangreat|4
Vanquish Soul|4
Mimighoul|4
Tearlaments|4
Orcust|3
Thunder Dragon|2
Ritual Beast|2
Dragonmaid|2
P.U.N.K.|2
Red-Eyes|1
Adventurer Token|1
Sacred Beast|1
Stardust|1
Dragunity|1
Supreme King|1
Gimmick Puppet|1
Unchained|1
Mannadium|1
Destruction Sword|1
Atlantean|1
Melodious|1
Purrely|1
Crystron|1
Dragon Tail|1
Ryu-Ge|1
Galaxy-Eyes|1
Primite|1
Regenesis|1
