Runick|120
Floowandereeze|106
Kashtira|98
Voiceless Voice|90
Labrynth|78
Purrely|56
Melodious|52
Unchained|29
Tenpai Dragon|28
Ryzeal|27
Centur-Ion|24
Sky Striker|18
Ritual Beast|16
Silenforc|13
Vanquish Soul|11
Dinomorphia|8
Marincess|6
Dogmatika|6
Salamangreat|5
Exosister|5
Fire King|5
Horus|4
Virtual World|4
Raizeol|3
Evil Eye|3
Paleozoic|3
Vaalmonica|3
"""C"""|2
Swordsoul|2
Tenyi|2
Altergeist|1
Scrap|1
Mekk-Knight|1
Snake-Eye|1
Charmer|1
Hole|1
Magical Musket|1
Mikanko|1
Dark World|1
Solemn|1
Dinowrestler|1
True Draco|1
Mathmech|1
Goblin|1
Memento|1
Crystron|1
Rescue-ACE|1
Branded|1
Jurrac|1
