Ryzeal|96
Maliss|88
Blue-Eyes|47
Memento|32
Tenpai Dragon|18
Gem-|17
Orcust|11
Crystron|11
Labrynth|9
Centur-Ion|8
Voiceless Voice|8
Gimmick Puppet|6
Fire King|5
Runick|5
Salamangreat|5
Sky Striker|5
Purrely|5
Ritual Beast|4
Snake-Eye|4
Dragonmaid|4
Unchained|3
Jurrac|3
Primite|3
Magician|3
Goblin|2
Dinomorphia|2
Sinful Spoils|2
Noble Knight|2
Rikka|1
Mikanko|1
Yubel|1
Magical Musket|1
Fiendsmith|1
Mathmech|1
Rescue-ACE|1
Dogmatika|1
Argostars|1
Lyrilusc|1
Traptrix|1
Galaxy-Eyes|1
Naturia|1
Live☆Twin|1
P.U.N.K.|1
Melodious|1
Ryu-Ge|1
