Sangen|148.0
"""C"""|58.0
Harpie|29.0
Mulcharmy|27.0
Greed|13.0
Bystial|11.0
PSY-Frame|9.0
Sky Striker|2.0
Fiendsmith|1.0
Forbidden|1.0
Primite|1.0
