Bystial|0.56
Fiendsmith|0.35
Mulcharmy|0.19
Greed|0.15
Ryzeal|0.12
Forbidden|0.06
Sinful Spoils|0.05
Book of|0.04
Dogmatika|0.04
Mermail|0.04
