Kashtira|74
Labrynth|64
Superheavy Samurai|54
Mathmech|34
Superheavy|18
Tenpai Dragon|14
Spright|9
P.U.N.K.|9
Purrely|8
Rokket|8
Snake-Eye|6
Centur-Ion|6
Dinosaur|5
Branded|4
Bystial|4
Lyrilusc|4
Edge Imp|4
Marincess|4
Virtual World|3
Tearlaments|3
Runick|3
Kaiju|3
Evil Eye|3
Traptrix|2
Danger!|2
Blackwing|2
Ryzeal|2
Maliss|2
Counter|2
Rikka|2
Tri-Brigade|2
Mikanko|2
Tenyi|2
Altergeist|2
Infernoid|2
Destiny HERO|2
Swordsoul|2
Yubel|2
Eldlich|1
ABC|1
Springans|1
Dragunity|1
Generaider|1
Dragon|1
Adamancipator|1
Floowandereeze|1
Dogmatika|1
Myutant|1
Vernusylph|1
Sky Striker|1
Dracoslayer|1
Adventurer Token|1
Plunder Patroll|1
Dinomorphia|1
Therion|1
SPYRAL|1
Gimmick Puppet|1
Atlantean|1
Rescue-ACE|1
Melodious|1
Vanquish Soul|1
Aroma|1
Magician|1
Fiendsmith|1
Horus|1
Fire King|1
Naturia|1
Magical Musket|1
